City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,malindi,-3.2175,40.1191,25.8,70,18,8.29,KE,1718229063
316,college,64.8569,-147.8028,15.99,82,75,6.69,US,1718229007
317,pangkalanbuun,-2.6833,111.6167,22.92,99,100,0.74,ID,1718229064
318,pimenta bueno,-11.6725,-61.1936,25.6,48,28,1.27,BR,1718229064
319,gordonvale,-17.0936,145.7842,15.88,63,46,1.18,AU,1718229064
320,itaituba,-4.2761,-55.9836,32.09,62,40,1.03,BR,1718229064
321,cabo san lucas,22.8909,-109.9124,30.34,59,6,1.79,MX,1718229026
322,rawson,-43.3002,-65.1023,14.09,60,100,3.42,AR,1718228873
323,larne,54.85,-5.8167,10.98,88,100,4.13,GB,1718229064
324,acarau,-2.8856,-40.12,25.34,87,57,5.28,BR,1718229064
325,grand falls-windsor,48.9332,-55.6649,14.54,90,100,4.06,CA,1718229064
326,katabu,-4.9333,122.5167,23.06,92,79,1.25,ID,1718229064
327,lerwick,60.1545,-1.1494,8.0,84,100,2.61,GB,1718229064
328,ma'an,26.9775,110.7211,23.3,94,4,1.89,CN,1718229064
329,gargalianoi,37.0667,21.6333,26.31,39,85,1.31,GR,1718229064
330,hafar al-batin,28.4328,45.9708,36.32,15,0,3.09,SA,1718229064
331,muynoq,43.7683,59.0214,24.19,49,100,5.03,UZ,1718229064
332,tazovsky,67.4667,78.7,7.74,99,97,2.34,RU,1718229064
333,trairi,-3.2778,-39.2689,24.76,89,82,4.22,BR,1718228834
334,uyuni,-20.4597,-66.825,7.02,26,97,3.53,BO,1718229064
335,kribi,2.95,9.9167,26.0,90,38,2.88,CM,1718229064
336,salinopolis,-0.6136,-47.3561,26.01,86,96,4.61,BR,1718229064
337,antofagasta,-23.65,-70.4,16.6,84,10,2.12,CL,1718229064
338,morehead city,34.7229,-76.726,29.03,64,0,4.12,US,1718229065
339,san pedro pochutla,15.7333,-96.4667,30.67,60,96,3.41,MX,1718229065
